,Group_enriched_bone_marrow_lung_lymphoid_tissue,Group_enriched_heart_muscle_skeletal_muscle_testis_tongue,Group_enriched_heart_muscle_skeletal_muscle_tongue,Group_enriched_intestine_kidney,Group_enriched_intestine_kidney_retina,Group_enriched_parathyroid_gland_thyroid_gland,Low_tissue_specificity,Tissue_enhanced_adipose_tissue_breast_placenta,Tissue_enhanced_adrenal_gland_brain_pancreas,Tissue_enhanced_adrenal_gland_liver_pancreas,Tissue_enhanced_bone_marrow,Tissue_enhanced_bone_marrow_gallbladder_salivary_gland,Tissue_enhanced_bone_marrow_lymphoid_tissue,Tissue_enhanced_bone_marrow_urinary_bladder,Tissue_enhanced_brain_choroid_plexus_lung,Tissue_enhanced_brain_gallbladder_kidney_placenta,Tissue_enhanced_brain_liver,Tissue_enhanced_brain_parathyroid_gland,Tissue_enhanced_brain_pituitary_gland,Tissue_enhanced_brain_retina,Tissue_enhanced_brain_skeletal_muscle,Tissue_enhanced_breast_choroid_plexus,Tissue_enhanced_breast_fallopian_tube_pancreas,Tissue_enhanced_cervix,Tissue_enhanced_cervix_endometrium_1,Tissue_enhanced_cervix_salivary_gland,Tissue_enhanced_endometrium_1,Tissue_enhanced_esophagus,Tissue_enhanced_esophagus_liver_skin_1,Tissue_enhanced_esophagus_vagina,Tissue_enhanced_fallopian_tube_salivary_gland,Tissue_enhanced_gallbladder,Tissue_enhanced_gallbladder_intestine_kidney,Tissue_enhanced_gallbladder_salivary_gland_urinary_bladder,Tissue_enhanced_gallbladder_urinary_bladder,Tissue_enhanced_intestine_kidney,Tissue_enhanced_intestine_salivary_gland,Tissue_enhanced_kidney_liver,Tissue_enhanced_kidney_urinary_bladder,Tissue_enhanced_liver,Tissue_enhanced_liver_pancreas,Tissue_enhanced_liver_placenta,Tissue_enhanced_lung,Tissue_enhanced_lymphoid_tissue,Tissue_enhanced_lymphoid_tissue_placenta,Tissue_enhanced_ovary,Tissue_enhanced_placenta,Tissue_enhanced_retina,Tissue_enhanced_salivary_gland_skin_1,Tissue_enhanced_skin_1,Tissue_enhanced_testis,Tissue_enhanced_urinary_bladder,Tissue_enriched_bone_marrow,Tissue_enriched_bone_marrow_Tissue_enriched_bone_marrow,Tissue_enriched_brain,Tissue_enriched_heart_muscle,Tissue_enriched_intestine,Tissue_enriched_kidney,Tissue_enriched_liver,Tissue_enriched_lymphoid_tissue,Tissue_enriched_pancreas,Tissue_enriched_placenta,Tissue_enriched_retina,Tissue_enriched_salivary_gland,Tissue_enriched_stomach_1,Age,BMI
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,4
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4
2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4
3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4
5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4
6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,4
